ts,o,h,l,c,v
2026-07-27T08:00:00Z,4081.263,4104.88,4055.63,4083.233,0.007165
2026-07-27T09:00:00Z,4061.466,4113.04,4060.31,4088.225,0.112072
2026-07-27T10:00:00Z,4085.8,4114.57,4054.1,4091.2075,0.006767
2026-07-27T11:00:00Z,4089.19,4111.847,4060.13,4085.55,1.650414913
2026-07-27T12:00:00Z,4087.125,4103.33,4055.5,4075.885,0.128287
2026-07-27T13:00:00Z,4078.94,4102.144,4039.192,4063.797,0.028057
2026-07-27T14:00:00Z,4066.25,4092.93,4039.2,4067.0725,0.132953668
2026-07-27T15:00:00Z,4063.844,4092.8,4039.273,4068.855,0.00554
2026-07-27T16:00:00Z,4071.6965,4105.8,4049.341,4075.041,0.014466
2026-07-27T17:00:00Z,4073.25,4092.84,4047.87,4070.151,0.003723
2026-07-27T18:00:00Z,4045.4,4094.64,4045.1,4070.184,0.009296
2026-07-27T19:00:00Z,4094.9,4104.2,4053.2,4076.825,0.01085
2026-07-27T20:00:00Z,4074.93,4095.5,4068.76,4068.76,0.002384
2026-07-27T21:00:00Z,4071.3,4092.7,4043.6,4067.2935,0.006568
2026-07-27T22:00:00Z,4071.3,4091.153,4063.203,4065.7,0.005791
2026-07-27T23:00:00Z,4063.055,4089.96,4037.9,4062.145,0.012448976
2026-07-28T00:00:00Z,4063.57,4088.06,4027.27,4048.771,0.050351518
2026-07-28T01:00:00Z,4047.61,4063.816,4017.8,4033.9385,0.00668
2026-07-28T02:00:00Z,4036.37,4061.086,4011.9,4032.9585,0.006281
2026-07-28T03:00:00Z,4036.459,4065.0,4013.1,4040.76,0.023053
2026-07-28T04:00:00Z,4037.467,4061.5,4012.8,4033.087,0.043368
2026-07-28T05:00:00Z,4056.424,4058.1,4008.2,4035.65,0.011937
2026-07-28T06:00:00Z,4038.1365,4065.772,4014.202,4040.477,0.029132
2026-07-28T07:00:00Z,4065.194,4065.194,4014.9,4036.85,0.025001
2026-07-28T08:00:00Z,4039.965,4061.723,4009.1,4036.44,0.011705
2026-07-28T09:00:00Z,4033.8,4057.17,4003.8,4015.415,0.053131
2026-07-28T10:00:00Z,4015.92,4041.4,3990.5,4019.165,0.006245
2026-07-28T11:00:00Z,4042.5,4046.35,3995.9,4019.998,0.113717
2026-07-28T12:00:00Z,4016.951,4049.94,3994.7,4019.5155,0.06933
2026-07-28T13:00:00Z,4022.6535,4049.76,3998.841,4015.565,0.013262
2026-07-28T14:00:00Z,4017.8695,4043.4,3996.034,4016.97,0.030367
2026-07-28T15:00:00Z,4020.009,4062.513,4004.662,4037.95,0.031838
2026-07-28T16:00:00Z,4061.5,4061.5,4009.708,4030.066,0.024731
2026-07-28T17:00:00Z,4054.032,4054.032,3994.8,4020.3415,0.018656
2026-07-28T18:00:00Z,4021.6465,4045.8,3998.5,4016.092,0.014129
2026-07-28T19:00:00Z,4040.84,4043.654,3992.684,4016.644,0.030571
2026-07-28T20:00:00Z,4015.944,4042.16,3996.4,4019.25,0.009175
2026-07-28T21:00:00Z,4021.764,4045.028,3997.202,4023.115,0.009113
